["2015", "07"]	[613.0648322927254, 0.0]
["2015", "10"]	[787.8312181684231, 44301.469675518114]
["2016", "06"]	[1592.9910703918522, 392764.1723331435]
["2017", "05"]	[4326.849800506742, 1249924.5715409033]
["2018", "04"]	[21124.363171211062, 6540318.337887139]
["2019", "03"]	[18508.276445712385, 6342491.214715948]
["1970", "01"]	[540.0, 0.0]
["2015", "08"]	[646.678189247861, 16319.791386796067]
["2015", "11"]	[834.4886107188577, 53552.67774141185]
["2016", "07"]	[1513.4288778463035, 262196.6775660193]
["2016", "10"]	[2306.6639222559916, 325142.9200690391]
["2017", "06"]	[8061.457291282071, 2444173.440152089]
["2018", "05"]	[24893.16507572359, 7320048.131328044]
["2019", "04"]	[20318.195848239553, 6389031.86123587]
["2015", "09"]	[758.5255309409202, 34724.865305386396]
["2015", "12"]	[1115.636415411886, 124291.34849522298]
["2016", "08"]	[1567.5196352538176, 240744.82425914265]
["2016", "11"]	[1548.22743742221, 299302.5996072466]
["2017", "07"]	[9315.80392531528, 2647347.8480373425]
["2017", "10"]	[16100.3150543602, 4454330.922707479]
["2018", "06"]	[24013.22683537554, 7074019.637422766]
["2019", "05"]	[23831.31745688027, 7119118.92134458]
["2016", "01"]	[1137.533577095727, 118308.43786940568]
["2016", "09"]	[1608.4870062857678, 280443.5326291507]
["2016", "12"]	[1520.6094364351245, 237043.84908203603]
["2017", "08"]	[14116.395052820184, 4152776.9245680743]
["2017", "11"]	[15435.397152554042, 4154794.325175747]
["2018", "07"]	[21812.745235355364, 7274120.340073429]
["2018", "10"]	[18644.48961898603, 6011133.638186569]
["2019", "06"]	[24734.93785541487, 7131027.491401971]
["2016", "02"]	[1140.1870028072728, 126184.54940182438]
["2017", "01"]	[1599.1263136028804, 252581.15893196696]
["2017", "09"]	[17963.623146781814, 5256754.885296069]
["2017", "12"]	[24079.50238279704, 6834375.239444627]
["2018", "08"]	[22268.93886674772, 7121787.856666976]
["2018", "11"]	[17534.498200021884, 5880545.842975161]
["2016", "03"]	[1400.343501632234, 170526.47922506373]
["2017", "02"]	[1717.5167658577564, 308694.8598743448]
["2018", "01"]	[28753.607302999953, 7258885.056123959]
["2018", "09"]	[25054.607903844666, 6897801.356756637]
["2018", "12"]	[17691.826218311493, 6124541.228497133]
["2016", "04"]	[1401.1231679507616, 167885.05213868225]
["2017", "03"]	[2376.0854263222923, 434328.3122946353]
["2018", "02"]	[22241.417131856393, 6583535.267713922]
["2019", "01"]	[18539.468786189278, 6021562.791305022]
["2016", "05"]	[1606.0106300288935, 241870.01007788922]
["2017", "04"]	[2602.961858823799, 529232.5418762388]
["2018", "03"]	[19548.67177546687, 5940778.18376436]
["2019", "02"]	[21399.226958941013, 6826033.009076113]
