["2017", "09"]	[6048, 364116305, 60204.41550925926]
["2018", "02"]	[12540, 752699589, 60023.89066985646]
["2018", "03"]	[7735, 464183772, 60010.83025210084]
["2017", "01"]	[912, 77894219, 85410.32785087719]
["2017", "10"]	[5304, 319240265, 60188.586915535445]
["2018", "04"]	[5776, 346954233, 60068.25363573407]
["2016", "07"]	[4963, 876947826, 176697.1239169857]
["2017", "02"]	[617, 52106944, 84452.09724473258]
["2017", "11"]	[10550, 634007906, 60095.53611374408]
["2018", "05"]	[5283, 317180000, 60037.85727806171]
["2016", "08"]	[54960, 5769761696, 104981.10800582242]
["2017", "03"]	[2056, 165535106, 80513.18385214008]
["2017", "12"]	[21395, 1283878531, 60008.3445197476]
["2018", "06"]	[3374, 200945431, 59557.03349140486]
["2019", "01"]	[2, 62059, 31029.5]
["2016", "09"]	[50281, 4570653239, 90902.1944472067]
["2017", "04"]	[1420, 103880109, 73155.00633802816]
["2017", "05"]	[3415, 269377266, 78880.60497803807]
["2019", "03"]	[2, 42000, 21000.0]
["2016", "10"]	[41854, 4033862564, 96379.37984422038]
["2017", "06"]	[6846, 481817539, 70379.42433537832]
["2019", "04"]	[1, 26577, 26577.0]
["2016", "11"]	[30882, 2919356361, 94532.61968136778]
["2017", "07"]	[5462, 330498132, 60508.62907359941]
["2019", "05"]	[3, 406638, 135546.0]
["2016", "12"]	[918, 76665280, 83513.37690631808]
["2017", "08"]	[5609, 338417682, 60334.762346229276]
["2018", "01"]	[33931, 2036858376, 60029.423712828975]
["2018", "10"]	[8, 1039843, 129980.375]
["2019", "06"]	[2, 96092, 48046.0]
